aapo;männlich
aaro;männlich
aaron;männlich
aarre;männlich
aatos;männlich
aatto;männlich
ab;männlich
abaddon;männlich
abba;männlich
abban;männlich
abbas;männlich
abbe;unspezifisch
abbey;unspezifisch
abbie;unspezifisch
abbot;männlich
abbott;männlich
abby;unspezifisch
abdel;männlich
abdi;männlich
abdiel;männlich
abdul;männlich
abdulbaki;männlich
abdulkadir;männlich
abdullah;männlich
abdurrahim;männlich
abdurrahman;männlich
abe;männlich
abednego;männlich
abejundio;männlich
abel;männlich
abelard;männlich
abeu;männlich
abey;unspezifisch
abidan;männlich
abie;männlich
abiel;männlich
abijah;männlich
abimael;männlich
abiona;unspezifisch
abiram;männlich
abisai;männlich
abishai;männlich
abner;männlich
abraham;männlich
abrahan;männlich
abram;männlich
abramo;männlich
abran;männlich
abrasha;männlich
abraxas;männlich
absalom;männlich
absalon;männlich
acacio;männlich
acacius;männlich
acar;männlich
achaicus;männlich
achan;männlich
achaz;männlich
achill;männlich
achilles;männlich
achilléas;männlich
achim;männlich
achmed;männlich
ackerley;männlich
ackley;männlich
ad;männlich
ada;unspezifisch
adair;männlich
adalbert;männlich
adalwin;männlich
adam;männlich
adamnan;männlich
adamo;männlich
adams;männlich
adamántios;männlich
adan;unspezifisch
addai;männlich
addie;unspezifisch
addison;unspezifisch
addo;männlich
addy;unspezifisch
ade;männlich
adelbert;männlich
adelmus;männlich
adelphos;männlich
adem;männlich
aden;männlich
adham;männlich
adigüzel;männlich
adil;männlich
adino;männlich
adiran;männlich
adis;männlich
aditya;männlich
adlai;männlich
adler;männlich
adley;männlich
admes;männlich
admon;männlich
adnan;männlich
ado;männlich
adolf;männlich
adolfo;männlich
adolph;männlich
adolphe;männlich
adolpho;männlich
adolphus;männlich
adom;männlich
adon;männlich
adonijah;männlich
adonis;männlich
adran;männlich
adrastos;männlich
adriaen;männlich
adrian;unspezifisch
adriano;männlich
adrianós;männlich
adriel;männlich
adrien;männlich
adrik;männlich
adám;männlich
aegidius;männlich
aeneas;männlich
aesop;männlich
aetos;männlich
afsar;männlich
agabo;männlich
agamemnon;männlich
agamémnon;männlich
agapito;männlich
agathoklís;männlich
agathónikos;männlich
agatone;männlich
agelaos;männlich
agenor;männlich
aggélis;männlich
agid;männlich
agisílaos;männlich
agnolo;männlich
agostino;männlich
agosto;männlich
agrippa;unspezifisch
agu;männlich
aguie;männlich
aguistin;männlich
aguste;männlich
agustin;männlich
agápios;männlich
ahab;männlich
aharon;männlich
ahearn;männlich
